track_id,x,y,class,camera_id,intersection_id,phase,name
track_id,x,y,class,camera_id,intersection_id,phase,name
559,649,367,car,3,7356,1100ee,1100eecar2
559,649,352,car,3,7356,1100ee,1100eecar2
559,644,307,car,3,7356,1100ee,1100eecar2
559,638,238,car,3,7356,1100ee,1100eecar2
559,634,228,car,3,7356,1100ee,1100eecar2
559,631,205,car,3,7356,1100ee,1100eecar2
559,627,194,car,3,7356,1100ee,1100eecar2
559,620,153,car,3,7356,1100ee,1100eecar2
559,615,98,car,3,7356,1100ee,1100eecar2
559,611,66,car,3,7356,1100ee,1100eecar2
559,607,48,car,3,7356,1100ee,1100eecar2
-1433,749,678,car,3,7356,1100ee,1100eecar3
-1433,745,675,car,3,7356,1100ee,1100eecar3
-1433,745,671,car,3,7356,1100ee,1100eecar3
-1433,745,665,car,3,7356,1100ee,1100eecar3
-1433,745,661,car,3,7356,1100ee,1100eecar3
-1433,745,657,car,3,7356,1100ee,1100eecar3
-1433,745,645,car,3,7356,1100ee,1100eecar3
-1433,745,636,car,3,7356,1100ee,1100eecar3
-1433,745,632,car,3,7356,1100ee,1100eecar3
-1433,745,627,car,3,7356,1100ee,1100eecar3
-1433,745,618,car,3,7356,1100ee,1100eecar3
-1433,745,612,car,3,7356,1100ee,1100eecar3
-1433,741,601,car,3,7356,1100ee,1100eecar3
-1433,741,596,car,3,7356,1100ee,1100eecar3
-1433,736,591,car,3,7356,1100ee,1100eecar3
-1433,735,585,car,3,7356,1100ee,1100eecar3
-1433,730,567,car,3,7356,1100ee,1100eecar3
-1433,730,555,car,3,7356,1100ee,1100eecar3
-1433,728,548,car,3,7356,1100ee,1100eecar3
-1433,724,519,car,3,7356,1100ee,1100eecar3
-1433,724,511,car,3,7356,1100ee,1100eecar3
-1433,724,493,car,3,7356,1100ee,1100eecar3
-1433,724,467,car,3,7356,1100ee,1100eecar3
-1433,724,460,car,3,7356,1100ee,1100eecar3
-1433,724,438,car,3,7356,1100ee,1100eecar3
-1433,723,429,car,3,7356,1100ee,1100eecar3
-1433,723,417,car,3,7356,1100ee,1100eecar3
-1433,723,395,car,3,7356,1100ee,1100eecar3
-1433,720,391,car,3,7356,1100ee,1100eecar3
-1433,720,379,car,3,7356,1100ee,1100eecar3
-1433,720,365,car,3,7356,1100ee,1100eecar3
-1433,720,341,car,3,7356,1100ee,1100eecar3
-1433,720,329,car,3,7356,1100ee,1100eecar3
-1433,715,315,car,3,7356,1100ee,1100eecar3
-1433,715,274,car,3,7356,1100ee,1100eecar3
-1433,714,265,car,3,7356,1100ee,1100eecar3
-1433,714,232,car,3,7356,1100ee,1100eecar3
-1433,714,211,car,3,7356,1100ee,1100eecar3
-1433,714,192,car,3,7356,1100ee,1100eecar3
-1433,701,176,car,3,7356,1100ee,1100eecar3
-1893,744,748,car,3,7356,1100ee,1100eecar4
-1893,744,742,car,3,7356,1100ee,1100eecar4
-1893,741,741,car,3,7356,1100ee,1100eecar4
-1893,741,740,car,3,7356,1100ee,1100eecar4
-1893,741,733,car,3,7356,1100ee,1100eecar4
-1893,741,733,car,3,7356,1100ee,1100eecar4
-1893,740,733,car,3,7356,1100ee,1100eecar4
-1893,740,732,car,3,7356,1100ee,1100eecar4
-1893,739,728,car,3,7356,1100ee,1100eecar4
-1893,739,728,car,3,7356,1100ee,1100eecar4
-1893,739,727,car,3,7356,1100ee,1100eecar4
-1893,739,725,car,3,7356,1100ee,1100eecar4
-1893,739,722,car,3,7356,1100ee,1100eecar4
-1893,739,722,car,3,7356,1100ee,1100eecar4
-1893,739,716,car,3,7356,1100ee,1100eecar4
-1893,739,715,car,3,7356,1100ee,1100eecar4
-1893,739,714,car,3,7356,1100ee,1100eecar4
-1893,739,714,car,3,7356,1100ee,1100eecar4
-1893,739,713,car,3,7356,1100ee,1100eecar4
-1893,739,713,car,3,7356,1100ee,1100eecar4
-1893,739,713,car,3,7356,1100ee,1100eecar4
-1893,739,713,car,3,7356,1100ee,1100eecar4
-1893,739,713,car,3,7356,1100ee,1100eecar4
-1893,739,713,car,3,7356,1100ee,1100eecar4
-1893,739,713,car,3,7356,1100ee,1100eecar4
-1893,739,713,car,3,7356,1100ee,1100eecar4
-1893,739,713,car,3,7356,1100ee,1100eecar4
-1893,738,712,car,3,7356,1100ee,1100eecar4
-1893,738,707,car,3,7356,1100ee,1100eecar4
-1893,736,700,car,3,7356,1100ee,1100eecar4
-1893,736,697,car,3,7356,1100ee,1100eecar4
-1893,736,693,car,3,7356,1100ee,1100eecar4
-1893,736,691,car,3,7356,1100ee,1100eecar4
-1893,736,677,car,3,7356,1100ee,1100eecar4
-1893,733,673,car,3,7356,1100ee,1100eecar4
-1893,733,667,car,3,7356,1100ee,1100eecar4
-1893,733,646,car,3,7356,1100ee,1100eecar4
-1893,730,641,car,3,7356,1100ee,1100eecar4
-1893,730,627,car,3,7356,1100ee,1100eecar4
-1893,724,597,car,3,7356,1100ee,1100eecar4
-1893,721,581,car,3,7356,1100ee,1100eecar4
-1893,721,572,car,3,7356,1100ee,1100eecar4
-1893,718,557,car,3,7356,1100ee,1100eecar4
-1893,718,527,car,3,7356,1100ee,1100eecar4
-1893,716,509,car,3,7356,1100ee,1100eecar4
-1893,716,495,car,3,7356,1100ee,1100eecar4
